"V1","V2"
"Scly","Tifa"
"Suclg1","Hspbap1"
"Ndufs3","Kcmf1"
"Appl1","Leng8"
"Lima1","Gnb3"
"Chchd6","Ascc1"
"Hnrnpu","Mbnl1"
"Mbnl1","Cnpy3"
"Rap1gds1","Cd200r1"
"Kif3b","Snap29"
"Vps8","Plekho2"
"Hddc2","Plek"
"Csf1r","Klc3"
"Gstm7","Mnt"
"Ikzf1","Mnt"
"Agl","Myo1e"
"Gpn1","Mocs3"
"Oas1g","Nenf"
"Vav2","Grk5"
"Cep55","Grk5"
"Stard5","Ep300"
"Fam98c","Sod1"
"Dopey2","Rdx"
"Rae1","Lypla2"
"Arhgef7","Ap2a1"
"Ddx3y","Htatsf1"
"Impa2","Mtmr9"
"Galnt10","Mrpl22"
"Actn1","Brd2"
"Elovl1","Ctsl"
"Elovl1","Myg1"
"Elovl1","Poglut1"
"Actn1","Rpl37"
"Pus10","Rbm12"
"Actn3","Chchd2"
"Secisbp2","Rras"
"Atrx","Zfp422"
"Map4k4","Rhoc"
"Fau","Cul4a"
"Cul4a","Polr2i"
"Ncor2","Cotl1"
"Tcirg1","Pi4ka"
"Mettl1","Mfn2"
"Ptpn12","Zfp207"
"Myd88","Dhx9"
"Snx8","Anks6"
"Stim2","Rps18"
"Pum2","Tom1"
"Mrto4","Tpi1"
"Vapa","Acsf2"
"Vapa","Hexim1"
"Vapa","Mapre3"
"Vapa","Usf2"
"Vapa","Dnase2a"
"Lman1","Gnat2"
"Hnrnpa3","Strn4"
"Taf15","Rpl34-ps1"
"Tubg2","Upf1"
"Ifitm3","Idh3g"
"Ap2s1","Hist1h2bl"
"Supt7l","Ubxn6"
"Hnrnpc","Ubxn6"
"Scin","Ctsa"
"Rxra","Dennd1b"
"Sec62","Erlin2"
"Cbx1","Taok2"
"Stk24","Wbp11"
"Sel1l","Rab3d"
"Arpc4","Ubl7"
"Lrrc8c","Camp"
"Rbms2","Safb"
"Hist1h1t","Dcun1d2"
"2210016F16Rik","Sumf1"
"Ap1m1","Papss1"
"Mrto4","Pla2g7"
"Psmd9","Msn"
"Irf5","Isca2"
"Gstm4","Nrbp1"
"Atp6ap1","Eif3d"
"Atp1a3","Fgr"
"Tyms","Ube2d2b"
"Atad1","Oat"
"Crip1","Spcs3"
"Unc45a","Fam160b1"
"Zfr","Klf13"
"Naaa","Rab21"
"Med10","Nsdhl"
"Lrch4","Ezr"
"Sema4a","Tap2"
"Nes","Mthfd1l"
"Prkd2","Acox3"
"Ggta1","Pds5b"
"Apobec3","Kif5a"
"Ubqln4","Nfatc1"
"Cirbp","Mepce"
"Cirbp","Phf2"
"Pgm3","Dhx38"
"Prkd2","Cd82"
"Trim30a","Mcee"
"Msto1","Arpc3"
"Nrf1","Ctcf"
"Sumf1","Trim47"
"Prkd1","Ptpn1"
"Csl","Slc25a12"
"Evl","Trim56"
"9130011E15Rik","Rrp7a"
"Faim","Rpn2"
"Ppp1r9b","Nckap1l"
"Nckap1l","Galm"
"Rabgap1","2810408A11Rik"
"Mbnl2","Slc2a6"
"Slc12a9","Cat"
"Pitrm1","Cdc42bpb"
"Timm10","Cox7c"
"Eif5a2","Cyld"
"Cyb5r1","Actn2"
"Gngt2","Armc8"
"Cep55","Bin2"
"Scaper","Ak1"
"Polr2a","Slc1a5"
"Vapa","Rps19"
"Med7","Top1mt"
"Mapk8","Sra1"
"Gmeb2","Epn1"
"Plxnb2","Anxa11"
"BC017643","Pank4"
"Gabbr1","Ubp1"
"Galc","Taok1"
"Mtmr9","Kcnab2"
"Rab3d","Ltb4r1"
"Arg2","Cog5"
"Mea1","Rnps1"
"Prpf4b","Zc3h7a"
"Prkd1","Rps9"
"Thyn1","Sec61a2"
"Pank2","Ankrd28"
"Nrf1","Ankrd28"
"Ankrd28","Syk"
"Ube2q2","Lpgat1"
"Prmt5","Serf2"
"Comtd1","Tmed5"
"Rhog","Ppp1r8"
"Pilra","Msto1"
"Nfu1","Scaper"
"Gtf2a1","Adss"
"Agap3","Ankib1"
"Ube2o","Dpcd"
"P2rx4","Plekho1"
"Lamb1","Aifm2"
"Bin2","Polr3a"
"Opa1","Ttr"
"Ankrd17","Ttc7"
"Wfs1","Ccdc58"
"Trim16","Tfrc"
"Ppm1h","Dera"
"Atp1a3","Eif5a2"
"Nubp1","Eif3g"
"Cnpy2","Slc38a10"
"Cyfip2","Pfdn4"
"Ggta1","Gdpd1"
"Dicer1","Abcf2"
"Dicer1","Tns3"
"Dicer1","Cd74"
"Add1","Lpp"
"Lyz2","Stat1"
"Bcl2l13","Eps8"
"B4galnt1","Eps8"
"Tmed4","Meaf6"
"Oas1g","Uqcrq"
"Dnajc5","Aarsd1"
"Brap","Asl"
"Zfx","Srsf1"
"Supt7l","Ilf3"
"Rbm4b","Alkbh5"
"Hspa1a","Gstp2"
"Nfu1","Mapk1"
"Nckap1l","Pcyox1l"
"Pi4k2a","Ube2q1"
"Ly75","Fnbp4"
"Atf7ip","Shkbp1"
"Ppp2r1a","AI413582"
"Abcf1","Tmem11"
"Ctsl","Dok1"
"Mkrn1","Arhgdia"
"Tubb2a","Uqcrfs1"
"Tyms","Mrps35"
"Capns1","Ugdh"
"Capns1","Acly"
"Capns1","Syngr2"
"2210016F16Rik","Lonp2"
"Stom","Comt"
"Commd8","Cd84"
"Jund","9930111J21Rik1"
"Clec4a3","Papss1"
"Cdc34","Kdm2a"
"U2af2","Rpl7a"
"Rnmt","Supt7l"
"Mapk8","Sh3d19"
"Mrto4","Copg2"
"Derl2","Ftsj1"
"Ubfd1","Rdh11"
"Rabep2","Zmpste24"
"Mthfr","Map4k2"
"Ythdf1","Eif1"
"Bod1l","Prkca"
"Cog1","Pik3r2"
"Parp9","Dok3"
"Asna1","Abi3"
"0610009B22Rik","Arfip2"
"Exosc1","Smarce1"
"Slc12a9","Irgm2"
"Itgb2","Usp24"
"Itgb2","Csnk1e"
"Itgb2","Ebp"
"Dpysl4","Ttpal"
"Dpysl4","Prpf4b"
"Dpysl4","Sec24c"
"Glrx3","Ran"
"Casp6","Csnk1a1"
"Stx2","Mcee"
"Bod1l","Gnl2"
"Stat1","Irgm1"
"Usp16","Cul5"
"Nolc1","Dpysl3"
"Smap2","Lss"
"Rpl36al","4833439L19Rik"
"Nup98","Anxa11"
"Ap1s1","Pik3c2a"
"Cirbp","Rpl7a"
"Ifi47","Abcf2"
"Mettl14","Casp1"
"Smad4","Ptp4a2"
"Pycard","Rbpms"
"Eif2s3y","Cep170"
"Stard4","Ppp3cb"
"Gga1","Pgls"
"Ddhd1","Rnaset2a"
"Mpst","Tmem11"
"Cwc27","Fip1l1"
"Pea15a","Dtnbp1"
"Tcirg1","Ssu72"
"Prrc2a","Ltb4r1"
"Nek7","Ipo7"
"Cfp","Ciao1"
"Nfkbie","Oxr1"
"Inpp5d","Psmf1"
"Pygm","Def6"
"Appl2","Nadk"
"Nhlrc3","Rab7"
"Gngt2","Gga1"
"Stap1","Hspa14"
"Stap1","Tifa"
"Trappc2l","Stap1"
"Stap1","Ly6c2"
"Ndufv3","Rab6b"
"Agpat4","Gripap1"
"Pcm1","Thyn1"
"Mertk","Ube2v1"
"Myo1c","Macrod1"
"Impdh1","Mri1"
"Impdh1","Pin1"
"Tlr2","Ints2"
"Epn1","Sms"
"Nek8","Tubb2a"
"Galc","Mrpl39"
"Pitpna","Klc2"
"Gmeb2","Nme1"
"Exoc1","Dab2"
"Cnot1","Agfg1"
"Uck2","Wtip"
"Prkar1a","Faim"
"1600014C10Rik","Cops6"
"Tssc4","Zdhhc13"
"Suclg2","Plcg2"
"Pitrm1","Galc"
"Nup85","Eif4g1"
"Rpl8","Mrpl11"
"Cd47","Arl1"
"Actn3","Lonp2"
"Cnot1","Tpi1"
"Eps15l1","Arhgdia"
"Mrpl1","Srp54c"
"Slc4a1ap","Rap1gds1"
"Ppp2r2b","Cgnl1"
"Ppp3ca","Rragb"
"B4galnt1","Irgm1"
"Ppat","Gnb4"
"Exosc10","Eif4e"
"Wasf3","Lmbrd2"
"Ankrd44","Atp6v0d1"
"Ankrd44","Slfn5"
"Cog1","Nln"
"Fkbp4","Ppm1a"
"Sec16a","Ccdc124"
"Prkd2","Itgb2"
"Itgb2","H2-Eb1"
"Htatsf1","Mef2a"
"Wipi2","Ankrd50"
"Actg2","Brap"
"Lamp2","Eppk1"
"Vps33a","Dlg1"
"Thyn1","2410004B18Rik"
"Ndufb3","Epx"
"Dopey2","2810408A11Rik"
"Tnpo2","Nmt2"
"Ube2q1","Myl9"
"Ilf3","Ndufa12"
"Slc16a3","Aldh3b1"
"Tbl1xr1","Tubg1"
"Alkbh5","Nup214"
"Runx1t1","Saa3"
"Saa3","Dync1li1"
"Tacc3","Ebag9"
"Frg1","Fdps"
"Actn1","Tmem11"
"Ppp1r3d","Srsf7"
"Relb","Rab9b"
"Hddc2","Rab9b"
"Lsm14b","Rilpl2"
"Ahnak","Pgls"
"Ndufb11","Snrnp200"
"Eya3","Trim12a"
"Stard4","Eif4g1"
"Acaa1a","Os9"
"Scoc","Rpap3"
"Pitpnm1","Stx17"
"Ncoa3","Plekho1"
"Fam76b","Rasa4"
"Ankib1","Abhd5"
"Recql","Psmd11"
"Rras","Slc3a2"
"Gnb4","Wdr5"
"Bod1l","Ndufa5"
"Ppp1r3d","Srsf7"
"Unc45a","Fxr1"
"Pold3","Clasp2"
"Slc27a3","Hps6"
"Pnpt1","Hars2"
"Emb","Ap3s1"
"Uba2","Lmna"
"Rragb","Lmna"
"Rps6ka2","Chaf1a"
"Pfkp","Cuta"
"Slc30a5","Scin"
"Hnrnpa3","Prex1"
"Ddx3y","Myof"
"Grcc10","Wdfy2"
"Tacc3","Tle4"
"Ruvbl2","Dync1h1"
"Ncf2","Abr"
"Mef2a","Abr"
"Abr","Ddx5"
"Abr","Pfdn5"
"Taok3","Snx32"
"Abi1","Txnrd1"
"Agl","Hectd1"
"Sfxn3","Sf3b3"
"Safb2","Ndufb8"
"Eif4a2","Dennd1b"
"Ndufb8","Larp4b"
"Lypla1","Raly"
"Tmem57","Ube4a"
"Trim30a","Trim14"
"Snx2","Runx1t1"
"Slc27a3","Chmp1a"
"Patl1","Polr2i"
"Pbrm1","Sympk"
"Slc27a3","Tmem135"
"Cyld","Bysl"
"Vti1a","Cyld"
"Slfn2","Cfp"
"Arhgef7","Vav2"
"Arhgef7","Runx1t1"
"Dna2","Hist1h2br"
"Agpat4","Ccdc124"
"Mlkl","Tbl3"
"Ppp1cb","Ccar1"
"Timm8a1","Cmc1"
"Tmem57","Hist2h2aa2"
"Ubb","Ylpm1"
"Timm10","Rpl37"
"Gpn1","Pcyt2"
"Tbc1d22a","Lat2"
"Cwf19l1","Eef1g"
"Ythdc1","Prrc2c"
"Agl","Ppt1"
"Nol8","Fkbp3"
"Mea1","Ppp5c"
"Meaf6","Cotl1"
"Sephs2","Mrps26"
"Psma6","Ptgr2"
"Anks6","Gnb4"
"Vps52","Ubp1"
"Mcat","Hexim1"
"Mcat","Prelid1"
"Ifitm3","Suclg2"
"Galm","Snrpd3"
"Papss2","Cyp4f14"
"Klf13","Ndufa11"
"Zc3hav1","Gm16381"
"Gm16381","Htra2"
"Atp5d","Gm16381"
"Atp1a2","Arap1"
"Tank","Nefh"
"Uvrag","Cox6c"
"Prosc","Taco1"
"Sh3glb2","Bub1b"
"Trim21","Micall2"
"H2-M2","Trim21"
"Rwdd4a","Thumpd3"
"Lpgat1","Hnrnpa2b1"
"Stk24","Gnat2"
"Ddost","Rab8a"
"Pcf11","Get4"
"Golph3l","Gale"
"Pnpt1","Wdr41"
"Hddc2","Osbpl9"
"Kif1a","Mrpl22"
"Wdr61","Cd84"
"Ppp1r2","Gsr"
"Psmb3","Echdc1"
"Pcm1","Usp5"
"Atrx","Prdx6"
"Ddhd1","Anxa6"
"Kcmf1","Cdv3"
"Cnot1","Hyou1"
"Kif3b","Chmp6"
"Brd4","Gramd4"
"Nt5c2","Sec24d"
"Vav2","Sar1a"
"Gapvd1","Utrn"
"Uck2","Sf3b3"
"Trim26","Ube2u"
"Nacad","Fnbp4"
"Cdk19","Ptpn1"
"Gpd1l","Rpl4"
"Sema4a","Cst3"
"Fubp1","Stx3"
"Aifm2","Fgfr1op2"
"Cfb","Ivns1abp"
"Etv6","Ifi47"
"Tor1aip2","Tpi1"
"Phf2","Ppp1r12c"
"Cwc27","Fam160b1"
"Rap1a","Arhgef2"
"Arhgef2","Rnf126"
"Stx8","Vps35"
"Ppp1r9b","Gapvd1"
"Vps8","Rhog"
"Mrps27","Tppp3"
"2210016F16Rik","Des"
"Htra2","Atg4b"
"Arfgap2","Actr2"
"Pycrl","Rcc2"
"Cs","Sap30"
"Stx7","Nfkbib"
"Zfyve16","Pex1"
"Stxbp1","Paox"
"Gsn","Cdk5"
"Hdgfrp2","Inpp5f"
"Scamp2","Trip4"
"Scamp2","Zmiz2"
"Sec61a2","1110059G10Rik"
"Ube2o","Gm1604b"
"Ugp2","Dhx36"
"Mcts1","Prrc2c"
"Psma6","Tap2"
"Psma6","Ccs"
"Hddc2","Epc1"
"Fam98a","Snap29"
"Gga3","Ccdc6"
"Eif3l","Pcnt"
"Tor1aip2","Prpf8"
"Atp1a3","Tbc1d9b"
"Slc12a9","Slfn1"
"Fdxr","Cops2"
"Capns1","Cttn"
"Pstpip2","Fip1l1"
"Unc45a","Pdcd4"
"Abhd5","Fn1"
"Alkbh5","Mrpl24"
"Bak1","Fndc3a"
"Mrto4","Tbc1d17"
"Mcat","Grn"
"Tor1aip2","Tbc1d17"
"Tor1aip2","Pgls"
"Tor1aip2","Ranbp3"
"Arhgef6","Adar"
"Vps26b","Ctbp1"
"Noc4l","Kifap3"
"Csnk2b","Kifap3"
"Gtf3c5","Ascc2"
"Arfgef2","Pyhin1"
"Exosc10","Pyhin1"
"Zfp703","Prkaa2"
"Mark1","Kif16b"
"Mark1","Mgat1"
"Mfsd7b","Itih5"
"Mfsd7b","Ndufs7"
"Mfsd7b","Trim26"
"Uck2","Galt"
"Ndufa9","Gda"
"BC017643","Atf7ip"
"Mrto4","Brd2"
"H2-M2","Psmb8"
"Trim21","Tnip1"
"Glyr1","Gcc1"
"Pcf11","Mrpl37"
"Arhgap1","Ccdc50"
"Nefm","Ccdc50"
"Atp6v1a","Eif4g1"
"Gnat2","Tpx2"
"Gopc","Akr1e1"
"Stx7","Pnp2"
"Tmcc1","Rnaseh2a"
"Tacc3","Tmf1"
"Usp16","Ppp2r5a"
"Wdr37","Trim56"
"Naaa","Cryz"
"Lamp2","Abhd12"
"Ndufb4","Sbds"
"Myh14","Myh4"
"Anxa11","Hck"
"Actn3","2210016F16Rik"
"Rpl18","Cdk11b"
"Eif3c","Cdk11b"
"Gsdmd","Dr1"
"Actn3","Slc1a5"
"Pcf11","Rab1b"
"Otub1","Arf3"
"Usp16","Fkbp2"
"Actn2","Atp2a1"
"F8a","Slc1a5"
"Stim2","Cdk13"
"Pitrm1","Naa38"
"Mtif2","Zfyve19"
"Arih1","Xpnpep1"
"Hnrnpa1","Tmem109"
"Ahcyl2","Ubp1"
"Ahcyl2","Klc4"
"Ahcyl2","Apoo"
"Zc3h11a","Vim"
"Zc3h11a","Hspa5"
"Zc3h11a","2410016O06Rik"
"Prps1l1","Atp5h"
"Lrch3","Rras"
"Stat1","Mapk14"
"4930544G11Rik","Mapk14"
"Mapk14","Gabpa"
"Sumo1","Sphk2"
"Fscb","Gnb2"
"Fscb","Lsm14a"
"Yy1","Fscb"
"Fscb","Ep300"
"Fscb","Cerk"
"Ppfibp2","Tnfaip8l2"
"Fkbp8","2210016F16Rik"
"Arhgef2","Rps5"
"Sfxn1","Dennd4c"
"Rab6b","Dcxr"
"Card11","Atp6v0d1"
"Card11","Lnpep"
"Prkar1a","Pstpip2"
"Mpp2","Cd200r1"
"Fscb","Tpi1"
"Acox3","Mtmr14"
"Ina","Syncrip"
"Denr","Ncoa3"
"Mkrn1","Ttf2"
"Nacad","Mkrn1"
"Rnasel","Hp1bp3"
"Eif4b","Copa"
"Ugt1a7c","Dnm1"
"Dnm1","Ugt1a5"
"Bola3","Dnm1"
"Arhgdib","Dnm1"
"Trim21","Dnm1"
"Dok3","Dnm1"
"Vps28","Dnm1"
"Dnm1","Gnpda1"
"B3gnt2","0610010K14Rik"
"Morf4l1","Aoah"
"Lactb","Ppp2r5c"
"Ipo7","Rabgef1"
"Cyp4f13","Sgpl1"
"Mcat","Usf2"
"Cd274","Ints9"
"Ilf3","Eef1a1"
"Scamp3","Pcmt1"
"Anxa4","Rbm47"
"Tmem11","Rbm47"
"Ctsa","Rdh14"
"Pafah1b3","Rbm47"
"Ppp1r3d","Atad3a"
"Nfkbie","Pabpc5"
"Pfkm","Jmjd1c"
"Snx2","Mbd3"
"Ikzf1","Uap1"
"Ikzf1","Gabarap"
"Ikzf1","Mnt"
"Snrnp70","Ubr4"
"Thumpd3","Sae1"
"Lpgat1","Pak1ip1"
"Sec24a","Mrpl48"
"Clpb","Kifc5b"
"Papss1","Ntan1"
"Wdr61","Mrpl40"
"Epc1","Tom1l2"
"Tyms","Ube2d3"
"Mtch2","Ccdc88a"
"Gstp2","Grb2"
"Gba","Larp4b"
"Actn2","Acta1"
"Nit2","Zfp598"
"Tbck","Mapk14"
"Nfkbib","Pnp2"
"Ppp6r3","Decr1"
"Lamb1","Anxa11"
"Psma4","Kctd12b"
"Xab2","Ap2b1"
"Tmem11","Mrpl9"
"Sel1l","Rpl7a"
"Ppt1","Epn2"
"Alkbh7","Ddrgk1"
"Hdgfrp2","Uhrf1"
"Ikbkg","Eif3g"
"Cd82","Pdhx"
"Cd82","Copg2"
"Sf3a2","Cd82"
"Cd82","Brd2"
"Cd82","Ranbp3"
"Npepps","Clpb"
"Stx7","Serpinb6a"
"Ptprc","Lactb2"
"Ptprc","Hyou1"
"Pik3r6","Osbpl7"
"Alg2","Dut"
"Clec10a","Larp1"
"Pgam1","Cstf1"
"Actr3b","Abi1"
"Slc4a1ap","Slc16a3"
"Kif1a","Nfkbie"
"Tor1aip1","Ube2d2b"
"Sap30","Vps53"
"Zadh2","Abcc1"
"Eif2ak2","Cdk5rap2"
"Atp13a1","Trmt5"
"Atrx","Por"
"Arpc3","Nt5c"
"Gstm4","Usf2"
"Myo5b","Psd4"
"Ptpn11","Fhl3"
"Arid1b","Fblim1"
"Stard5","Ttc7"
"Larp4","Arfgap2"
"Pi4k2a","Irf3"
"Lyz2","Adssl1"
"Rbm15","Cops2"
"Irak4","Pofut2"
"Nufip2","Dna2"
"Pfkp","Mta1"
"Rps6ka1","Actr2"
"Napg","Nupl1"
"Vps8","Sptlc2"
"Rhoc","Fam63b"
"Prpf8","Fam63b"
"Abi1","Srp19"
"Pi4ka","Ube2u"
"Pi4ka","Acad11"
"Snurf","Ncor2"
"Ncor2","Ndufs7"
"Ncor2","Cox7c"
"Nfu1","Kifc1"
"Prkca","Arf5"
"Csnk2a1","Trmt2a"
"Tomm40","S100a8"
"Nop2","Mrpl9"
"Tubg2","Cap1"
"Bin2","Copa"
"Sri","Dnajb6"
"Prkab2","Pdk1"
"Actn1","Hyou1"
"Snx2","Elmo1"
"Grcc10","Tpt1"
"Clec4b1","Pyhin1"
"Clec4b1","Pik3cb"
"Cnpy4","Wdr44"
"Rnaseh2c","Wdr44"
"Chd8","Tradd"
"Thrap3","Scyl2"
"Tpi1","Cnot2"
"Ndufb11","Nfatc1"
"Ints2","Pcyt1a"
"Tgfb1","Bloc1s1"
"Gnb3","Cep55"
"Gga1","Tmem87a"
"Gtf2e1","Herc4"
"Ctnnd1","Lipa"
"Copb1","Nlrx1"
"P2rx4","Poldip3"
"H2-Q7","Ubc"
"Myof","Exosc1"
"Myof","Smarce1"
"Ubtf","Nfkbie"
"Dhrs1","Pex3"
"Mrfap1","Pgs1"
"Pdcd4","Acot13"
"Cnot2","Agfg1"
"Ehd2","Ugt1a6a"
"Chchd3","Slc25a12"
"Chchd3","Srrm1"
"Nop2","Chchd3"
"Arhgef6","Chchd3"
"Slc4a1ap","Ripk1"
"Dok3","C3"
"Lpp","Ntan1"
"Clec10a","Dhfr"
"Pdyn","Cebpg"
"Pitrm1","Mrpl39"
"Nufip2","Ccdc124"
"Smpd4","Tbc1d9"
"Snx30","Nans"
"Snx30","Lancl2"
"Snx30","Utrn"
"Myl6","Isca2"
"Dhx16","Lpcat3"
"Tnfaip8l2","Dip2c"
"Tmed4","Lamp1"
"Mdc1","Fam192a"
"Akr1b3","Taf10"
"Gpd2","Dis3"
"Plek","Nrd1"
"Pex10","Cab39"
"Idua","Umps"
"Rps6kb1","Fdxr"
"Erh","Clip1"
"Chd8","Tor3a"
"Agl","Gbe1"
"Cab39l","Ankrd50"
"Ube2e2","Trafd1"
"Morf4l2","Copz1"
"Rdx","2810408A11Rik"
"Gripap1","Anxa7"
"Gripap1","Rab5b"
"Gripap1","Mgat1"
"Ifit3","Suclg2"
"Smarcd3","Ndufab1"
"Trim30a","Atp6v0d2"
"Pi4ka","Lck"
"Nup188","Trps1"
"Ralgapa1","Hyou1"
"Cnot1","Chchd6"
"Cnot1","Myl9"
"Pcmt1","Lpl"
"Rcsd1","Gpatch8"
"Mpp2","Gpatch8"
"Cops2","Rbms1"
"Slc30a5","Hist1h1t"
"Lmbrd2","Cd63"
"Lrrk1","Tbc1d22a"
"Npepps","Cc2d1b"
"Siae","Ampd3"
"Pstpip2","Cwc27"
"Cbfa2t2","Klf5"
"Abcf1","Prpf8"
"Casp7","Clcc1"
"Hnrnpk","Elavl1"
"Ddx50","Shc1"
"Ppa1","Huwe1"
"Mknk1","Fcgr2b"
"Mknk1","Mark4"
"Mknk1","Ctbp2"
"Mknk1","Nqo1"
"Parvb","Mknk1"
"Mknk1","Pi4ka"
"Mknk1","Bcap31"
"Mrpl1","Ppa2"
"Atp1a3","Arhgap1"
"B4galnt1","Cox6c"
"Trim30a","Slfn2"
"Bet1l","Vps33b"
"Faf1","Ptrh2"
"Pank4","Fxr1"
"Pank4","Cebpg"
"Pank4","Elane"
"Nbas","Pank4"
"Pank4","Ehbp1l1"
"Kif3b","Sepsecs"
"Usp47","Cfl1"
"Nol8","Eef1e1"
"Pitpnm1","Ercc1"
"Eif3f","Ppp1r2"
"Golph3l","Gale"
"Rab8a","Wdr1"
"Bcap31","Nampt"
"Bcl2l13","Lmbrd2"
"Asph","Gtpbp4"
"Pddc1","Trim47"
"Pdcl","Asns"
"Mbnl1","Asns"
"Rps27l","Cyp4f13"
"Nfkbib","Pnp2"
"Hist3h2a","Stx17"
"Trim14","Mcee"
"Pcf11","Hist1h1c"
"Shmt2","Cd274"
"Nlrx1","Kctd5"
"Flcn","Ctage5"
"Epc1","Dhx16"
"Sub1","Nagpa"
"Atp1a3","Hnrnpa3"
"Kri1","Med12"
"Pcbp4","Pold3"
"Ppp1r3d","Cspg4"
"Nek8","Rbm4b"
"Yif1b","Dus3l"
"Flna","Nap1l4"
"Bod1l","Eif3g"
"Atpif1","Guk1"
"Runx1","Ube2k"
"Runx1","Irf5"
"Runx1","Lyz1"
"Mogs","Tmem87a"
"Ifi47","Alox5ap"
"Mcts1","Ctcf"
"Mettl1","Gna13"
"Ppp1r2","Cyp51"
"Pglyrp1","Apobec1"
"Pik3cb","9030617O03Rik"
"Ubfd1","Rad23a"
"Arid4a","Ubap2l"
"Fancb","Arg1"
"Arap1","Mrrf"
"Bcat2","Dennd4c"
"Ppp6r3","Mocs1"
"Cirbp","Txnrd1"
"Tsc22d3","Ssfa2"
"Igsf6","Ppp1cb"
"Ndufa11","Rnaset2b"
"Meaf6","Ndufs7"
"Meaf6","Stx5a"
"Cox17","Nkiras2"
"F8a","Ppp1r2"
"Cul5","Cpne8"
"F8a","Ndufa11"
"Wdr61","Rae1"
"Parp9","Dtx3l"
"Leng8","Dopey2"
"Cog1","Lsp1"
"Trpv2","Eya3"
"Tnfrsf26","Trpv2"
"Yy1","Trpv2"
"Stat1","Brsk1"
"Glul","Brsk1"
"Brsk1","Rin3"
"Brsk1","Aldh7a1"
"Brsk1","Kdm2a"
"Brsk1","Huwe1"
"2200002D01Rik","Gpatch8"
"Fkbp4","Golgb1"
"Sema4a","Ranbp10"
"Arg1","Zc3hc1"
"Gsdmd","Sidt2"
"Trim25","Commd6"
"Ipo8","Cul5"
"Rab21","Ugt1a6a"
"Trex1","Nfu1"
"Nrf1","2310022A10Rik"
"Stat5b","Prune"
"Stat5b","Brap"
"Stat5b","Por"
"Stat5b","Pdcd6ip"
"Mrps26","Chchd2"
"Mtch1","Fbxo6"
"Cd82","Agfg1"
"Cfl1","Nrp2"
"Usp5","Gabpa"
"Gale","Mrpl9"
"Raly","Agfg2"
"Gabbr1","Mknk1"
"Aldh16a1","Mrpl53"
"Tle3","Med20"
"Nol10","Ogfr"
"Trim16","Gch1"
"Eya3","Ap3m2"
"Ppp3ca","Acsf2"
"Ash2l","Cdc40"
"Grcc10","Rpl27a"
"Lrch1","Xiap"
"Cnot2","Ncoa3"
"Itm2b","Rnaset2b"
"Trappc8","Cdk4"
"Asns","Pttg1ip"
"Pip4k2a","Trip4"
"Decr1","Atp6v0d2"
"Cdkn1b","Optn"
"Ube2u","Ube2k"
"Stim2","Ndufab1"
"Inpp4a","Cpsf3"
"Rps15","Ddx54"
"Tsc22d4","Ndufs8"
"Uck2","Rpl12"
"Denr","Ddx39"
"Pank2","Arfgap2"
"Tbc1d2","Mepce"
"Prkcq","Fbl"
"Trim47","Ndufa6"
"Gsn","Serpinb1a"
"Map2k3","Tshz3"
"Efhd2","Papss1"
"Mpp6","Nprl2"
"Snap29","Bcar3"
"2210016F16Rik","Itm2b"
"Ep300","Srp68"
"Gpn1","Sap30l"
"Fdxr","Myo1b"
"Nrbp1","Rnf13"
"Nrbp1","Oxct1"
"Aldh3a2","Arhgdia"
"Slc25a12","Lars"
"Seh1l","Fam162a"
"Tank","Tlr7"
"Acin1","Ddhd1"
"Bub1b","Mocs1"
"Tbc1d9b","Acta1"
"Mrps15","Commd4"
"Nckap1l","Cd180"
"Slc1a5","Rela"
"Acot1","Slc1a5"
"Atp5d","Rnaseh2a"
"Gnl3","Ppp4r2"
"Tep1","B4galt1"
"Gnpnat1","Denr"
"Fam3a","Ndufb7"
"Morf4l2","Ubl7"
"Fads1","6430548M08Rik"
"Cpox","Pgrmc2"
"Cnot2","Rhoc"
"Anxa4","Cnot2"
"Arih1","Cnot2"
"Cdk2ap1","Rbm27"
"Bre","Rnf40"
"Bop1","Cyp4f18"
"Reps1","Aldh3a2"
"Usp16","Rpl34"
"Smcr8","Srsf10"
"Apoo","Cdk2"
"Nol10","3110009E18Rik"
"Slc30a5","Ctsa"
"Lemd3","Cog5"
"Fasn","Snrnp200"
"Ecsit","Ttpal"
"Vps16","Sort1"
"Lactb","Plin3"
"Rps12","Lztfl1"
"Rabgef1","Hspa2"
"Ppp1r2","Gna13"
"Atp6ap1","Eif3k"
"Actn2","Tpm3"
"Mavs","Mrpl53"
"Lyz2","Sh3gl2"
"Slc12a9","Lck"
"Zfp143","Nasp"
"Mea1","Inpp4a"
"Mpp2","Tubg2"
"Uck2","Txn2"
"Uck2","Pin1"
"Uck2","Ppp2cb"
"Uck2","Prdx2"
"Pabpc4","Nbas"
"Zbtb8os","Nbas"
"Nub1","Nbas"
"Nbas","Wbp11"
"Grcc10","Mccc1"
"Napg","Gale"
"Exoc1","Ppp2cb"
"Exoc1","Gmpr2"
"Cyp4f13","Rnf13"
"Gbp9","Cyp4f13"
"Cyp4f13","Jund"
"Ubash3b","Ebna1bp2"
"Pik3r6","Leng8"
"Sfpq","Bag1"
"Gda","Uap1"
"Gbp5","Gda"
"Gda","Acot11"
"Pabpc5","Mrpl22"
"Rnmt","Pabpc5"
"Abcf2","Fam177a"
"Rab3d","Osbpl11"
